Name,PolicyMode,SafetyMode,ScenarioMode,FaultSchedule,MissionSuccess,MinimumSeparation,TrackedMinimumSeparation,ViolationFraction,FinalGoalError,PathLength,ControlEffort,CBFInterventionRate,MaximumSlack,FallbackCount,StalePacketFraction,MeanGraphNodes,MeanGraphEdges,MeanTopGATScore,MaximumMotorSpeed,RunSucceeded,ErrorMessage
P1_S0_SC2_F1,1,0,2,1,1,0.508709469918648,-0.354067576620736,0,0.188871305183191,13.2536576114487,27.3030661703259,0.430948419301165,20,5,0.148086522462562,6.49501661129568,10.8870431893688,0.645521665147675,550.934820259527,1,
P1_S1_SC2_F1,1,1,2,1,0,0.0307159906742666,-0.319451588668485,0,0.823108709745518,14.9989424819536,30.1076081716344,0.254575707154742,0.0688507977772188,0,0.146422628951747,5.58803986710963,6.48172757475083,0.564032402720219,558.639553889264,1,
P0_S0_SC3_F0,0,0,3,0,0,-0.0604513614115303,-0.340810148098026,0.0899850024995834,0.125386380086464,9.99967311512894,8.49817881150263,0.352745424292845,0.546194280623068,0,0.0499168053244592,4.32890365448505,4.56810631229236,0.577154083689836,558.492386647536,1,
P0_S1_SC3_F0,0,1,3,0,0,-0.104603991082815,-0.29,0.0563239460089985,0.379404300473461,10.6096587153301,17.6824007389444,0.312811980033278,20,2,0.0499168053244592,4.47176079734219,4.6843853820598,0.541354074332436,558.071201357002,1,
P1_S0_SC3_F0,1,0,3,0,0,0.0119759914153976,-0.323438048668978,0,0.493398187515182,18.574166976724,30.9258162373607,0.465890183028286,20,14,0.0499168053244592,5.60797342192691,9.64451827242525,0.643198468076142,553.006471757226,1,
P1_S1_SC3_F0,1,1,3,0,0,0.275175028004321,-0.326422545954551,0,1.39980879217711,17.6507953282854,30.3405615354947,0.144758735440932,20,1,0.0499168053244592,4.27906976744186,4.24252491694352,0.482514184835323,550.232110238445,1,
P0_S0_SC3_F1,0,0,3,1,0,-0.0604513614115303,-0.337197188713314,0.0899850024995834,0.125386380086464,9.99967311512894,8.49817881150263,0.292845257903494,0.636429544161363,0,0.148086522462562,4.1063122923588,4.27574750830565,0.531027460620978,558.492386647536,1,
P0_S1_SC3_F1,0,1,3,1,0,-0.0658437238729619,-0.29,0.0474920846525579,0.366923709551781,10.6172724762707,18.5203182421015,0.246256239600666,20,2,0.148086522462562,4.19933554817276,4.31229235880399,0.513175809784078,558.094843722447,1,
P1_S0_SC3_F1,1,0,3,1,0,0.169699354180865,-0.335940473552147,0,0.713236426917289,18.7393506091692,26.2401020747406,0.336106489184692,20,8,0.144758735440932,4.78737541528239,7.32890365448505,0.571984278753502,552.395568789748,1,
P1_S1_SC3_F1,1,1,3,1,0,0.255438555074688,-0.326422545954551,0,1.09129341716922,23.0133121021436,40.0651288104687,0.10981697171381,20,1,0.149750415973378,3.88372093023256,3.62458471760797,0.470267926289252,546.865618260996,1,
P0_S0_SC4_F0,0,0,4,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,Error due to multiple causes.
P0_S1_SC4_F0,0,1,4,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,Error due to multiple causes.
P1_S0_SC4_F0,1,0,4,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,Memory allocation error.
P1_S1_SC4_F0,1,1,4,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,Error due to multiple causes.
P0_S0_SC4_F1,0,0,4,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,Error due to multiple causes.
P0_S1_SC4_F1,0,1,4,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,Error due to multiple causes.
P1_S0_SC4_F1,1,0,4,1,0,0.000483493925199585,-0.330867346670258,0,0.844002137447346,15.6833235448849,20.0326060739445,0.257903494176373,20,6,0.151414309484193,4.21594684385382,4.65116279069767,0.520730335073473,554.369683112264,1,
P1_S1_SC4_F1,1,1,4,1,0,0.000483493925199585,-0.2983680691057,0,0.666650400973039,14.9780828759889,23.5122590715475,0.75540765391015,0.246554683537983,0,0.148086522462562,2.94352159468439,1.97674418604651,0.611603272769722,553.904436180693,1,
P0_S0_SC5_F0,0,0,5,0,0,-0.0047983908807212,-0.29,0.00499916680553241,0.125386380086464,9.99967311512894,8.49817881150263,0.580698835274542,20,5,0.0499168053244592,10.9634551495017,17.9933554817276,0.695541889420134,558.492386647536,1,
P0_S1_SC5_F0,0,1,5,0,0,-0.0299457377086221,-0.29,0.00699883352774538,0.503000621310315,14.6110179824491,47.9208320178892,0.693843594009983,20,11,0.0499168053244592,10.1495016611296,15.4750830564784,0.666524932392985,565.075805953893,1,
P1_S0_SC5_F0,1,0,5,0,0,0.140191637407278,-0.345679104350621,0,0.646298698388285,13.0145935746335,18.6634081170249,0.487520798668885,20,1,0.0499168053244592,10.358803986711,16.9867109634551,0.705817258323571,553.965423379831,1,
P1_S1_SC5_F0,1,1,5,0,0,0.0807256540406781,-0.311995097660694,0,1.05724275039067,11.6753148292752,15.9107218052801,0.437603993344426,0.832510527340809,0,0.0499168053244592,10.4285714285714,14.8172757475083,0.685612811839164,550.926537042324,1,
P0_S0_SC5_F1,0,0,5,1,0,-0.0047983908807212,-0.30500778536765,0.00499916680553241,0.125386380086464,9.99967311512894,8.49817881150263,0.517470881863561,20,2,0.148086522462562,10.6843853820598,17.2857142857143,0.660303273335452,558.492386647536,1,
P0_S1_SC5_F1,0,1,5,1,0,-0.0703918424436668,-0.301297987005808,0.0199966672221296,0.427343114141991,11.2960241654082,28.2763689931034,0.402662229617304,20,7,0.146422628951747,10.3023255813953,15.9601328903654,0.624582760661283,553.01985427127,1,
P1_S0_SC5_F1,1,0,5,1,0,0.0247415123283315,-0.345679104350621,0,0.929759003878041,12.7026088012562,26.7168167533632,0.715474209650582,20,15,0.148086522462562,10.9833887043189,18.7607973421927,0.728520787062156,555.014144958859,1,
P1_S1_SC5_F1,1,1,5,1,0,0.192555211406237,-0.311995097660694,0,0.966770208574008,12.1725724390291,20.296004067277,0.361064891846922,20,4,0.146422628951747,10.2159468438538,15.3089700996678,0.649386135986869,553.957829158744,1,
